color_path,depth_path,ir_path,label,split
Training/real_part/CLKJ_BS1392/real.rssdk/color/61.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/61.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/61.jpg,1,train
Training/real_part/CLKJ_BS1392/real.rssdk/color/71.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/71.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/71.jpg,1,train
Training/real_part/CLKJ_BS1392/real.rssdk/color/101.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/101.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/101.jpg,1,train
Training/real_part/CLKJ_BS1392/real.rssdk/color/11.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/11.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/11.jpg,1,train
Training/real_part/CLKJ_BS1392/real.rssdk/color/111.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/111.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/111.jpg,1,train
Training/real_part/CLKJ_BS1392/real.rssdk/color/21.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/21.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/21.jpg,1,train
Training/real_part/CLKJ_BS1392/real.rssdk/color/31.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/31.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/31.jpg,1,train
Training/real_part/CLKJ_BS1392/real.rssdk/color/81.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/81.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/81.jpg,1,train
Training/real_part/CLKJ_BS1392/real.rssdk/color/41.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/41.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/41.jpg,1,val
Training/real_part/CLKJ_BS1392/real.rssdk/color/51.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/51.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/51.jpg,1,train
Training/real_part/CLKJ_BS1392/real.rssdk/color/1.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/1.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/1.jpg,1,train
Training/real_part/CLKJ_BS1392/real.rssdk/color/91.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/depth/91.jpg,Training/real_part/CLKJ_BS1392/real.rssdk/ir/91.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/201.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/201.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/201.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/361.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/361.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/361.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/161.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/161.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/161.jpg,1,val
Training/real_part/CLKJ_CS0107/real.rssdk/color/411.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/411.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/411.jpg,1,val
Training/real_part/CLKJ_CS0107/real.rssdk/color/61.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/61.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/61.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/71.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/71.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/71.jpg,1,val
Training/real_part/CLKJ_CS0107/real.rssdk/color/401.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/401.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/401.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/171.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/171.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/171.jpg,1,val
Training/real_part/CLKJ_CS0107/real.rssdk/color/371.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/371.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/371.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/211.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/211.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/211.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/101.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/101.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/101.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/261.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/261.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/261.jpg,1,val
Training/real_part/CLKJ_CS0107/real.rssdk/color/301.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/301.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/301.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/311.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/311.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/311.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/271.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/271.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/271.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/11.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/11.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/11.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/111.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/111.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/111.jpg,1,train
Training/real_part/CLKJ_CS0107/real.rssdk/color/21.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/21.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/21.jpg,1,val
Training/real_part/CLKJ_CS0107/real.rssdk/color/281.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/depth/281.jpg,Training/real_part/CLKJ_CS0107/real.rssdk/ir/281.jpg,1,train
